Month-Year,Product,Utility,Particulars,UOM,Bplan,Target,Actual,Bplan  Var %,Target  Var %,Plant
Jun-24,Towel,Water Utility,Processing Fabric Dyeing,Ltr/Kg,53.5,53.66,37.72,29.50%,29.71%,Vapi
Jun-24,Towel,Water Utility,Processing Yarn Dyeing,Ltr/Kg,53,53.66,68.38535263,-29.03%,-27.44%,Vapi
Jun-24,Towel,Steam,Sizing,KG/KG,1.77,1.77,1.733026074,2.09%,2.09%,Vapi
Jun-24,Towel,Steam,Processing Fabric Dyeing,KG/KG,5.5,5.99,5.91,-7.45%,1.34%,Vapi
Jun-24,Towel,Steam,Processing Yarn Dyeing,KG/KG,4,4,3.95,1.25%,1.25%,Vapi
Jun-24,Towel,Power,Weaving,KWH/KG,1.17,1.2,1.215779716,-3.91%,-1.31%,Vapi
Jun-24,Towel,Power,Weaving GIDC,KWH/KG,0.87,0.92,0.932055121,-7.13%,-1.31%,Vapi
Jun-24,Towel,Power,Processing,KWH/KG,0.94,0.94,1.01,-7.45%,-7.45%,Vapi
Jun-24,Towel,Air,Weaving,CFM,8900,8900,9555.933333,-7.37%,-7.37%,Vapi
Jun-24,Towel,Air,Processing,CFM,1000,1000,986.5666667,1.34%,1.34%,Vapi
Jun-24,Towel,Air,Cut & Sew-Chillers/ H Plant,CFM,350,350,360.6666667,-3.05%,-3.05%,Vapi
Jun-24,Rugs,Water Utility,Rugs Dyeing,Ltr/Kg,65.88,61.62,40.42166667,38.64%,34.40%,Vapi
Jun-24,Rugs,Steam,Packing KG,KG/KG,4.29,3.16,3.25,24.24%,-2.85%,Vapi
Jun-24,Rugs,Steam,Packing Pcs,KG/PCS,3.55,2.54,2.620459553,26.18%,-3.17%,Vapi
Jun-24,Rugs,Steam,Packing SQM,KG/SQM,7.88,5.6,5.77,26.78%,-3.04%,Vapi
Jun-24,Rugs,Steam,Rugs Dyeing,KG/KG,5.24,4.8,4.766280304,9.04%,0.70%,Vapi
Jun-24,Rugs,Power,Processing,KWH/SQM,0.29,0.42,0.36,-24.14%,14.29%,Vapi
Jun-24,Rugs,Power,Cut & Sew,KWH/SQM,0.13,0.14,0.126987495,2.32%,9.29%,Vapi
Jun-24,Rugs,Power,Coating,KWH/SQM,0.1,0.09,0.11005052,-10.05%,-22.28%,Vapi
Jun-24,Rugs,Air,Rugs Total,CFM,850,850,902.8666667,-6.22%,-6.22%,Vapi
Jun-24,Spinning,Power,Machine Production TFO,KWH,0.93,0.91,1.01,-8.60%,-10.99%,Vapi
Jun-24,Spinning,Power,Machine Production w/o TFO,KWH,2.17,2.35,2.25,-3.69%,4.26%,Vapi
